Word,Frequency,LemmatizedWord,PartOfSpeech_NLTK,PartOfSpeech_Spacy
abstract,1,abstract,Adjective,A D J
noun,1,noun,Adjective,N O U N
margarita,1,margarita,Noun,V E R B
touch,1,touch,Adjective,A D J
example,1,example,Noun,P R O P N
boiling,1,boiling,Verb,P R O P N
water,1,water,Noun,V E R B
boil,1,boil,Noun,N O U N
ten,1,ten,Preposition,V E R B
missing,1,missing,Verb,N O U N
music,1,music,Noun,V E R B
fellow,1,fellow,Noun,N U M
speaking,1,speaking,Verb,V E R B
plait,1,plait,Adjective,N O U N
old,1,old,Adjective,N O U N
lazy,1,lazy,Noun,V E R B
reply,1,reply,Noun,P R O P N
sheep,1,sheep,Adjective,A D J
fathers,1,father,Noun,A D J
listen,1,listen,Verb,N O U N
try,1,try,Verb,N O U N
correctly,1,correctly,Adverb,N O U N
salad,1,salad,Adjective,V E R B
cigarette,1,cigarette,Noun,A U X
smoke,1,smoke,Verb,A D V
lemon,1,lemon,Adjective,V E R B
inquired,1,inquired,Verb,N O U N
though,1,though,Preposition,N O U N
sounded,1,sounded,Adjective,N O U N
larger,1,larger,Adjective,V E R B
really,1,really,Adverb,A D V
smaller,1,smaller,Adjective,V E R B
lemons,1,lemon,Noun,A D J
coming,1,coming,Verb,A D V
bitterly,1,bitterly,Adverb,A D J
tea,1,tea,Adjective,N O U N
kept,1,kept,Verb,V E R B
spent,1,spent,Adjective,A D V
aunts,1,aunt,Noun,N O U N
replied,1,replied,Verb,V E R B
case,1,case,Noun,V E R B
there,1,there,Adverb,N O U N
words,1,word,Noun,V E R B
dish,1,dish,Adjective,N O U N
point,1,point,Noun,P R O N
d,1,d,Noun,V E R B
gives,1,give,Verb,P R O P N
necessary,1,necessary,Adjective,N O U N
life,1,life,Noun,P R O P N
vacation,1,vacation,Noun,V E R B
sat,1,sat,Verb,A D J
down,1,down,Adverb,N O U N
bit,1,bit,Adverb,N O U N
continued,1,continued,Adjective,V E R B
deal,1,deal,Noun,A D P
added,1,added,Verb,N O U N
stop,1,stop,Noun,A D J
truly,1,truly,Adverb,N O U N
admiral,1,admiral,Adjective,V E R B
win,1,win,Adjective,V E R B
victory,1,victory,Noun,A D V
page,1,page,Noun,A D J
gained,1,gained,Verb,N O U N
prizes,1,prize,Noun,N O U N
gain,1,gain,Verb,N O U N
prize,1,prize,Adjective,V E R B
schoolmaster,1,schoolmaster,Noun,N O U N
keeps,1,keep,Noun,V E R B
young,1,young,Adjective,N O U N
library,1,library,Adjective,N O U N
comes,1,come,Verb,V E R B
finds,1,find,Noun,A D J
happens,1,happens,Verb,N O U N
dictionary,1,dictionary,Adjective,A U X
smiling,1,smiling,Verb,V E R B
stories,1,story,Noun,V E R B
fine,1,fine,Adjective,A D J
master,1,master,Noun,V E R B
short,1,short,Adjective,N O U N
addressing,1,addressing,Verb,A D J
take,1,take,Verb,N O U N
poor,1,poor,Adjective,A D J
hes,1,he,Noun,N O U N
knew,1,knew,Verb,V E R B
sudden,1,sudden,Adjective,A D J
recently,1,recently,Adverb,P R O N
overtaken,1,overtaken,Verb,A U X
twice,1,twice,Adverb,V E R B
hat,1,hat,Other,A D V
office,1,office,Noun,A D V
head,1,head,Noun,V E R B
mention,1,mention,Noun,A D J
trifle,1,trifle,Adverb,N O U N
stood,1,stood,Verb,N O U N
advice,1,advice,Noun,N O U N
starting,1,starting,Verb,N O U N
speak,1,speak,Adjective,N O U N
fifty,1,fifty,Adjective,V E R B
lips,1,lip,Noun,N O U N
move,1,move,Verb,V E R B
suddenly,1,suddenly,Adverb,N O U N
burst,1,burst,Adverb,N U M
chorus,1,chorus,Noun,N O U N
hundred,1,hundred,Verb,N O U N
tails,1,tail,Noun,A D V
fire,1,fire,Noun,V E R B
u,1,u,Adjective,N O U N
shirt,1,shirt,Noun,N U M
mine,1,mine,Noun,N O U N
chair,1,chair,Noun,V E R B
washed,1,washed,Verb,P R O P N
whole,1,whole,Adjective,P R O P N
inland,1,inland,Noun,P R O P N
cuffs,1,cuff,Noun,P R O P N
cuff,1,cuff,Verb,V E R B
satisfied,1,satisfied,Adjective,A D J
shut,1,shut,Noun,A D J
enough,1,enough,Adjective,N O U N
allow,1,allow,Noun,P R O P N
playground,1,playground,Noun,P R O P N
hours,1,hour,Noun,V E R B
straight,1,straight,Verb,A D V
forgot,1,forgot,Adjective,V E R B
dirty,1,dirty,Noun,A D J
tired,1,tired,Verb,N O U N
look,1,look,Noun,A D J
play,1,play,Noun,V E R B
games,1,game,Noun,A D J
punish,1,punish,Adjective,A D J
stayed,1,stayed,Verb,N O U N
